location,latitude,longitude
Tompkins Bank of Castile,43.103797799999995,-77.753884
TD Bank,41.09691,-74.01414439999998
Chase,40.75293629999999,-73.9900734
KeyBank,42.79921289999999,-73.9609181
Evans Bank,42.9607238,-78.75961989999998
Atlantic Bank,40.8496734,-73.93591500000001
Valley Bank,40.637037899999996,-73.98962579999998
Bank of America,43.0897091,-78.9667426
KeyBank,41.2099717,-73.9858266
Bank of America,40.9938217,-73.67408520000002
Walden Savings Bank,41.561366,-74.1885569
M&T Bank,40.7576387,-73.9662221
M&T Bank,41.4225504,-73.57797140000001
Berkshire Bank,42.7798972,-73.95536120000001
Chase,41.29167,-73.8315681
Chase,41.1281385,-74.0415562
Capital One,40.705914899999996,-73.89609200000001
Hanover Community Bank,40.73807499999999,-73.669708
Bank of America,40.759273799999995,-73.96563309999998
Chase,40.808589700000006,-73.07492140000001
Chase,40.74374470000001,-73.98755129999998
People's United Bank,40.82681289999999,-72.9938043
National Bank Of Coxsackie,42.29019590000001,-73.98185509999998
Citibank,40.7256671,-73.7911231
KeyBank,42.7448355,-73.76129159999998
Walden Savings Bank,41.44372429999999,-74.02113
Faiport Savings Bank,43.206494899999996,-77.6003209
Community Bank,44.1643252,-75.0443706
Richmond County Savings Bank,40.527229,-74.2299922
Provident Bank,41.0977269,-74.0133316
Elmwood Capital,40.75829410000001,-73.97023979999999
TD Bank,40.8296033,-73.09344349999998
Ulster Savings Bank,41.9841507,-73.8813722
Pathfinder Bank,43.28649920000001,-76.12941009999999
Chase,41.07049310000001,-72.33881339999998
M&T Bank,41.84974709999999,-73.5568132
Sterling National Bank,40.633001799999995,-73.94833539999998
Sterling National Bank,40.7089689,-73.2963228
NBT Bank,43.23221300000001,-76.1390165
Accredit Services Group LLC,41.0687257,-73.7345004
KeyBank,43.1193646,-75.29365779999998
Chase,40.7590855,-73.3203455
Capital One,40.8796703,-73.8254798
Valley Bank,40.8327289,-73.3894275
Flushing Bank,40.7600691,-73.80142339999998
Chase,40.5421456,-74.2074313
Chase,40.66984229999999,-73.93074370000001
Trustco Bank,42.8149203,-73.8930381
KeyBank,41.1297338,-74.0017116
Richmond County Savings Bank,40.554424,-74.1442734
Bank of America,40.8738191,-73.6214487
Jeff Bank,41.7993196,-74.74326239999998
KeyBank,42.934392100000004,-78.84369170000001
Steuben Trust Company,42.3925531,-77.6952633
KeyBank,43.130323,-77.44272209999998
Investors Bank,40.5174415,-74.2339126
Citibank,40.75220039999999,-73.96573670000001
KeyBank,42.5963779,-73.70664000000001
Chase,40.7250972,-73.54455089999998
KeyBank,43.069509100000005,-77.44021190000001
Ontario National Bank,42.9544927,-77.04693409999999
Adirondack Bank,44.3283897,-74.1305417
Chase,40.825795,-73.951403
Community Bank,42.59619410000001,-78.94126519999998
Santander Bank,40.532332399999994,-74.1922744
Tompkins Mahopac Bank,41.57535,-73.9099528
People's United Bank,40.7789205,-73.2465417
Tompkins Trust Company,42.4286552,-76.5076109
Glens Falls National Bank and Trust,43.3949835,-73.2634054
People's United Bank,40.646868,-73.957584
Canandaigua National Bank & Trust,43.09117379999999,-77.5218575
Community Bank,43.0830357,-77.60809979999998
M&T Bank,41.423748700000004,-74.42906769999998
Trustco Bank,42.80465529999999,-73.90489009999999
Gouverneur Savings & Loan Assn,44.3319611,-75.91500079999999
Citibank,40.7767693,-73.9621343
Delaware National Bank Of Delhi,42.4380483,-74.9642351
TD Bank,40.7279946,-73.634664
Chase,40.7795815,-73.95531799999998
KeyBank,43.103082799999996,-76.20855350000001
Fairport Savings Bank,43.068403499999995,-77.43698429999998
Bank of Greene County,41.9601768,-73.98984779999998
Pavilion State Bank,42.9783823,-78.005134
Chase,40.713906099999996,-73.34943170000001
KeyBank,41.34525170000001,-73.75656540000001
Rondout Savings Bank,42.0059565,-74.10480629999998
Citibank,40.7322718,-73.44826809999998
Signature Bank,40.579681799999996,-74.099923
M&T Bank,42.7325459,-78.8244608
M&T Bank,42.80179329999999,-73.89900240000001
NBT Bank,42.293569700000006,-75.47903079999998
Chemung Canal Trust Company,42.088245799999996,-76.8031015
Chase,40.8545527,-73.1956665
KeyBank,43.1054027,-77.7508186
Bank of America,40.751077,-73.9738022
Bank of America,41.3750443,-74.69181800000001
Trustco Bank,42.7621894,-73.7511796
Community Bank Na,42.596194,-78.9412443
Northwest Bank,42.9804149,-78.87185749999998
Community Bank,42.3231265,-79.57601559999998
Chase,41.579318,-73.81147159999998
NBT Bank,42.5141285,-75.5226885
Flagstar Bank,40.734047,-73.596678
People's United Bank,40.707150299999995,-73.8556898
Citibank,40.917634,-73.0548012
Adirondack Trust Company,43.12325999999999,-73.76768299999998
Citibank,40.8327734,-73.89083609999999
Chase,41.3365454,-74.19289359999998
Bank of America,40.72817879999999,-73.2190184
Chase,40.686106,-73.3723377
The Federal Savings Bank,40.7834618,-73.41314059999998
TD Bank,40.5987031,-73.9552235
Five Star Bank,42.70880220000001,-78.45390239999998
Bank of America,40.807126700000005,-73.25612559999998
Richmond County Savings Bank,40.542817,-74.20779809999998
Metropolitan National Bank,40.63374,-73.99326649999998
TD Bank,40.784806599999996,-73.9491566
TD Bank,40.5450555,-74.1623011
Chase,40.8108735,-73.8832058
Capital One,40.8861463,-73.910125
Citibank,40.784114100000004,-73.95614189999998
Trustco Bank,42.7200363,-73.80119359999998
TD Bank,40.6001625,-73.94153890000001
Santander Bank,40.6127081,-74.1253953
M&T Bank,42.85267879999999,-78.80707079999998
Usny Bank,42.69740729999999,-74.9304219
M&T Bank,41.940539799999996,-74.02679909999998
Sterling National Bank,40.7248211,-73.23953780000001
KeyBank,42.8638499,-73.7690679
Pioneer Bank,42.78110789999999,-73.95265189999998
TD Bank,40.627046299999996,-73.9174967
Chemung Canal Trust Company,42.86523,-73.78377549999998
Citibank,40.72125020000001,-73.9999441
Sterling National Bank,41.321515000000005,-74.18523449999998
Chase,40.696132399999996,-73.48048990000002
Ulster Savings Bank,42.0496723,-73.95969939999998
Sterling National Bank,40.7254593,-73.5211746
State Bank of Long Island,40.7265789,-73.7010902
Chase,43.0355196,-76.06733790000001
HSBC Bank,40.7087931,-74.0068363
Tompkins Bank of Castile,43.1066678,-77.5417646
Citibank,40.753239,-73.979139
Sterling National Bank,40.9051532,-73.8700925
Staten Island Bank & Trust,40.6131694,-74.12495940000002
Bank of America,40.726283200000005,-73.28632270000001
First Tier Bank & Trust,42.15869199999999,-78.71526899999998
Chase,40.638437100000004,-73.89523679999998
KeyBank,41.0941832,-74.00756489999998
Sterling National Bank,41.0335297,-73.7667007
TD Bank,40.760682200000005,-73.7649311
Five Star Bank,42.218278000000005,-78.28131640000001
Ridgewood Savings Bank,40.70015739999999,-73.9002497
Chase,40.7896636,-73.3743444
National Bank of Geneva,42.933238200000005,-74.61309320000002
Chase,40.6122612,-73.98258969999998
NBT Bank,44.29484179999999,-74.00968019999998
KeyBank,42.6522525,-78.8965984
Rhinebeck Bank,41.698265899999996,-73.8808191
Citizens Bank,42.66633710000001,-73.79026110000002
Generations Bank,43.2063924,-78.4004418
Greater Chautauqua Fcu,42.486480799999995,-79.33883259999999
Pathfinder Bank,43.457592,-76.5068568
Community Financial Services Center (CFSC),40.66971780000001,-73.90716239999998
Sterling National Bank,40.7296324,-73.85970979999998
Chemung Canal Trust Company,42.4414792,-76.5131442
Roslyn Savings Bank,40.6354274,-73.6406975
People's United Bank,40.813709700000004,-72.64438259999999
M&T Bank,42.13480759999999,-75.90857659999999
Chase,40.86803270000001,-73.13122640000002
M&T Bank,43.0958018,-79.05587659999998
Citibank,40.8437059,-73.3147949
Community Bank,42.12623370000001,-79.19069499999998
Chase,41.1077928,-74.06136070000001
Citizens Bank,41.4564402,-74.0565196
Berkshire Bank,42.96216889999999,-74.1857538
Bank of America,41.5217643,-74.0703723
Ballston Spa National Bank,42.9045924,-73.7784441
Queens County Savings Bank,40.725241100000005,-73.7234908
Roslyn Savings Bank,40.815496100000004,-73.4731254
KeyBank,43.200512700000004,-77.9436467
Chase,41.7834003,-73.93315770000001
Chase,40.73748270000001,-73.9792143
Northwest Bank,42.981214,-78.87143999999998
Citibank,40.8283165,-73.68410970000001
NBT Bank,42.9052224,-74.57152370000001
TD Bank,40.7468601,-73.8265151
HSBC Bank,40.808370200000006,-73.8704628
Bank of America,40.7586591,-73.9691868
KeyBank,44.66960470000001,-74.9851249
Ballston Spa National Bank (BSNB),42.971746,-73.79145100000002
Rhinebeck Bank,41.7860193,-73.91423429999998
Citibank,40.6700434,-73.98597869999998
Bank of Richmondville,42.6722919,-74.3057025
Bank of America,40.7324476,-73.6870318
Citibank,40.765186,-73.98178899999998
Community Financial Services Center (CFSC),40.6550796,-73.95948659999998
M&T Bank,43.16065510000001,-77.61893140000001
Bank of America,40.779255799999994,-73.95553840000001
Richmond County Savings Bank,40.568479100000005,-74.11209000000001
TD Bank,40.8214471,-72.6463921
KeyBank,42.4831847,-79.3326053
Santander Bank,40.59726029999999,-73.9728559
Trustco Bank,42.6442442,-73.6077328
Evans Bank,43.1492172,-78.69748759999999
Chase,40.7628107,-73.9823263
Adirondack Trust Company,43.0685029,-73.7885463
Bank of Holland,42.64100560000001,-78.5412625
Citibank,40.761331,-73.96709899999998
NBT Bank,42.9672033,-74.18636740000001
Capital One,40.6592275,-73.5430094
Pioneer Bank,42.7308723,-73.70087699999998
TD Bank,40.746112100000005,-73.99480340000001
Meehan John J Ins,43.0868744,-75.26474549999999
Chase,43.2521624,-77.6959093
Citibank,40.740419700000004,-73.97623420000001
Chase,40.842599,-73.84486989999998
Chase,40.642844200000006,-74.01224739999998
Bank of America,42.9976055,-78.1822267
Adirondack Bank,43.476281500000006,-75.3157313
NBT Bank,42.6490189,-73.75174439999998
Citibank,40.7797001,-73.5589987
Niagara Regional FCU,43.0515706,-78.8458443
E Trade,40.751309899999995,-73.9751785
