County Name,State,FIPS County Code,Link,url,q1_credit,credit_percent
PICKENS,AL,1107,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001107,"<span class=""series-meta-observation-value"">34.24479</span>",34.24479
PIKE,AL,1109,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001109,"<span class=""series-meta-observation-value"">43.05994</span>",43.05994
RANDOLPH,AL,1111,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001111,"<span class=""series-meta-observation-value"">35.12146</span>",35.12146
RUSSELL,AL,1113,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001113,"<span class=""series-meta-observation-value"">40.22763</span>",40.22763
ST. CLAIR,AL,1115,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001115,"<span class=""series-meta-observation-value"">28.78298</span>",28.78298
SHELBY,AL,1117,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001117,"<span class=""series-meta-observation-value"">21.95467</span>",21.95467
SUMTER,AL,1119,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001119,"<span class=""series-meta-observation-value"">42.58475</span>",42.58475
TALLADEGA,AL,1121,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001121,"<span class=""series-meta-observation-value"">39.32025</span>",39.32025
TALLAPOOSA,AL,1123,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001123,"<span class=""series-meta-observation-value"">34.05377</span>",34.05377
TUSCALOOSA,AL,1125,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001125,"<span class=""series-meta-observation-value"">33.10052</span>",33.10052
WALKER,AL,1127,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001127,"<span class=""series-meta-observation-value"">30.38903</span>",30.38903
WASHINGTON,AL,1129,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001129,"<span class=""series-meta-observation-value"">36.32597</span>",36.32597
WILCOX,AL,1131,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001131,"<span class=""series-meta-observation-value"">43.82716</span>",43.82716
WINSTON,AL,1133,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001133,"<span class=""series-meta-observation-value"">27.19547</span>",27.19547
STATEWIDE,AL,1990,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001990,,
ALEUTIANS EAST,AK,2013,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002013,"<span class=""series-meta-observation-value"">21.56863</span>",21.56863
ALEUTIANS WEST,AK,2016,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002016,"<span class=""series-meta-observation-value"">18.00000</span>",18.00000
ANCHORAGE,AK,2020,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002020,"<span class=""series-meta-observation-value"">20.71793</span>",20.71793
BETHEL,AK,2050,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002050,"<span class=""series-meta-observation-value"">28.10127</span>",28.10127
BRISTOL BAY BOROUGH,AK,2060,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002060,"<span class=""series-meta-observation-value"">17.14286</span>",17.14286
DENALI,AK,2068,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002068,"<span class=""series-meta-observation-value"">8.97436</span>",8.97436
DILLINGHAM,AK,2070,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002070,"<span class=""series-meta-observation-value"">22.32143</span>",22.32143
FAIRBANKS NORTH STAR,AK,2090,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002090,"<span class=""series-meta-observation-value"">20.51010</span>",20.51010
HAINES,AK,2100,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002100,"<span class=""series-meta-observation-value"">13.95349</span>",13.95349
HOONAH-ANGOON CENSUS AREA,AK,2105,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002105,"<span class=""series-meta-observation-value"">15.49296</span>",15.49296
JUNEAU,AK,2110,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002110,"<span class=""series-meta-observation-value"">14.46640</span>",14.46640
KENAI PENINSULA,AK,2122,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002122,"<span class=""series-meta-observation-value"">15.13978</span>",15.13978
KETCHIKAN GATEWAY,AK,2130,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002130,"<span class=""series-meta-observation-value"">15.18519</span>",15.18519
KODIAK ISLAND BOROUGH,AK,2150,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002150,"<span class=""series-meta-observation-value"">13.82979</span>",13.82979
LAKE AND PENINSULA,AK,2164,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002164,"<span class=""series-meta-observation-value"">25.00000</span>",25.00000
