UNIT,CNTYNAMB,lat,lon,STALP,ZIP,ASSET
Westamerica Bank,Sonoma,38.36276,-122.524636,CA,94901,"6,418,409"
Westamerica Bank,Solano,38.352498,-121.976205,CA,94901,"6,418,409"
Westamerica Bank,Tulare,36.207976,-119.346639,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.514748,-119.552772,CA,94901,"6,418,409"
Westamerica Bank,Merced,36.98593,-120.626539,CA,94901,"6,418,409"
Westamerica Bank,Napa,38.281818,-122.291355,CA,94901,"6,418,409"
Westamerica Bank,Marin,37.973684,-122.533972,CA,94901,"6,418,409"
Westamerica Bank,Stanislaus,37.666196,-120.993977,CA,94901,"6,418,409"
Westamerica Bank,Lake,38.950177,-122.62604,CA,94901,"6,418,409"
Westamerica Bank,Sacramento,38.600099,-121.428354,CA,94901,"6,418,409"
Westamerica Bank,Sonoma,38.501947,-123.001815,CA,94901,"6,418,409"
Westamerica Bank,Solano,38.109759,-122.23852,CA,94901,"6,418,409"
Westamerica Bank,Contra Costa,37.902328,-122.064567,CA,94901,"6,418,409"
Westamerica Bank,Stanislaus,37.602926,-120.938661,CA,94901,"6,418,409"
Westamerica Bank,Solano,38.054333,-122.15539,CA,94901,"6,418,409"
Westamerica Bank,Sonoma,38.29263,-122.461451,CA,94901,"6,418,409"
Westamerica Bank,Sonoma,38.248454,-122.624271,CA,94901,"6,418,409"
Westamerica Bank,Lake,38.750922,-122.615769,CA,94901,"6,418,409"
Westamerica Bank,Kern,35.378777,-119.018756,CA,94901,"6,418,409"
Westamerica Bank,San Francisco,37.793316,-122.399183,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.808333,-119.829733,CA,94901,"6,418,409"
Westamerica Bank,Stanislaus,37.711037,-120.950813,CA,94901,"6,418,409"
Westamerica Bank,Solano,38.273879,-122.052613,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.737215,-119.78539,CA,94901,"6,418,409"
Westamerica Bank,Sonoma,38.452462,-122.76918,CA,94901,"6,418,409"
Westamerica Bank,Stanislaus,37.519405,-120.850178,CA,94901,"6,418,409"
Westamerica Bank,Sacramento,38.598422,-121.265649,CA,94901,"6,418,409"
Westamerica Bank,Sacramento,38.579186,-121.503541,CA,94901,"6,418,409"
Westamerica Bank,Marin,38.06624,-122.539901,CA,94901,"6,418,409"
Westamerica Bank,Sonoma,38.348596,-122.706184,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.731152,-120.060037,CA,94901,"6,418,409"
Westamerica Bank,Mendocino,39.150502,-123.204248,CA,94901,"6,418,409"
Westamerica Bank,Napa,38.169104,-122.253171,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.200981,-120.10274,CA,94901,"6,418,409"
Westamerica Bank,Nevada,39.182351,-121.008937,CA,94901,"6,418,409"
Westamerica Bank,Mendocino,38.783445,-123.551201,CA,94901,"6,418,409"
Westamerica Bank,Madera,36.959165,-120.063803,CA,94901,"6,418,409"
Westamerica Bank,Lake,38.977826,-122.838223,CA,94901,"6,418,409"
Westamerica Bank,Merced,37.319213,-120.476169,CA,94901,"6,418,409"
Westamerica Bank,Sonoma,38.614467,-122.871971,CA,94901,"6,418,409"
Westamerica Bank,Mariposa,37.486472,-119.967027,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.808432,-119.70345,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.70809,-119.555681,CA,94901,"6,418,409"
Westamerica Bank,Alameda,37.692311,-121.929697,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.651768,-119.79089,CA,94901,"6,418,409"
Westamerica Bank,Contra Costa,37.992865,-122.118942,CA,94901,"6,418,409"
Westamerica Bank,Kern,35.500938,-119.274366,CA,94901,"6,418,409"
Westamerica Bank,Merced,37.303071,-120.484356,CA,94901,"6,418,409"
Westamerica Bank,Kern,35.624451,-118.474792,CA,94901,"6,418,409"
Westamerica Bank,Marin,37.906071,-122.545367,CA,94901,"6,418,409"
Westamerica Bank,Merced,37.384776,-120.723362,CA,94901,"6,418,409"
Westamerica Bank,Napa,38.398795,-122.358536,CA,94901,"6,418,409"
Westamerica Bank,Lake,39.04617,-122.914791,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.837789,-119.772136,CA,94901,"6,418,409"
Westamerica Bank,Marin,38.107201,-122.570518,CA,94901,"6,418,409"
Westamerica Bank,Merced,37.360465,-120.600427,CA,94901,"6,418,409"
Westamerica Bank,Marin,37.896849,-122.533106,CA,94901,"6,418,409"
Westamerica Bank,Tulare,36.330115,-119.300236,CA,94901,"6,418,409"
Westamerica Bank,Merced,37.404554,-120.85013,CA,94901,"6,418,409"
Westamerica Bank,Kern,35.142556,-119.464004,CA,94901,"6,418,409"
Westamerica Bank,Marin,37.979792,-122.564741,CA,94901,"6,418,409"
Westamerica Bank,Kings,36.328147,-119.658037,CA,94901,"6,418,409"
Westamerica Bank,Stanislaus,37.649344,-121.030973,CA,94901,"6,418,409"
Westamerica Bank,Merced,37.056744,-120.868979,CA,94901,"6,418,409"
Westamerica Bank,Napa,38.486,-122.17045,CA,94901,"6,418,409"
Westamerica Bank,Marin,38.015379,-122.540022,CA,94901,"6,418,409"
First Northern Bank Of Dixon,Sacramento,38.581083,-121.497618,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Yolo,38.678859,-121.783551,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Yolo,38.572563,-121.548702,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Sacramento,38.595928,-121.439366,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Solano,38.259143,-122.068987,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Yolo,38.559787,-121.772646,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Solano,38.446326,-121.822487,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Solano,38.456181,-121.823451,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Placer,38.744153,-121.24113,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Sacramento,38.597814,-121.264988,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Placer,38.903666,-121.074068,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Yolo,38.54288,-121.742841,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Yolo,38.521405,-121.970178,CA,95620,"1,612,057"
First Northern Bank Of Dixon,Solano,38.354904,-121.985756,CA,95620,"1,612,057"
Bank Of The West,Sweetwater,41.509774,-109.473922,CA,94104,"100,000,144"
Bank Of The West,Los Angeles,34.180843,-118.308636,CA,94104,"100,000,144"
Bank Of The West,Jackson,38.852675,-94.377648,CA,94104,"100,000,144"
Bank Of The West,Sonoma,38.402049,-122.824242,CA,94104,"100,000,144"
Bank Of The West,Harvey,38.05707,-97.345611,CA,94104,"100,000,144"
Bank Of The West,Los Angeles,34.161898,-118.054807,CA,94104,"100,000,144"
Bank Of The West,Broomfield,39.915682,-105.081973,CA,94104,"100,000,144"
Bank Of The West,Sacramento,38.670345,-121.156473,CA,94104,"100,000,144"
Bank Of The West,Summit,39.589356,-106.095235,CA,94104,"100,000,144"
Bank Of The West,Solano,38.05241,-122.156673,CA,94104,"100,000,144"
Bank Of The West,Bernalillo,35.198723,-106.660657,CA,94104,"100,000,144"
Bank Of The West,Fillmore,43.584507,-91.793236,CA,94104,"100,000,144"
Bank Of The West,Gila,33.395968,-110.787141,CA,94104,"100,000,144"
